#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-30T18:10:51 [V7.4.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-30T18:10:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-source=J/A+A/534/A95/table2&-order=I&-out=Name&-out=HJD&-out=HRV&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35340095
#Name: J/A+A/534/A95
#Title: LMC Cepheids radial velocities (Storm+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/534/a95	    IVOID of underlying data collection
#INFO	creator=Storm J.	    First author or institution
#INFO	cites=bibcode:2011A&A...534A..95S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/534/A95	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35340095	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_534_A95_table2:
#Name: J/A+A/534/A95/table2
#Title: Time stamps and radial velocities
#Column	Name	(A7)	Variable star identifier	[ucd=meta.id;meta.main]
#Column	HJD	(F12.4)	Heliocentric Julian Date	[ucd=time.epoch]
#Column	HRV	(F6.2)	Heliocentric Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
Name	HJD	HRV
HV877  	2454046.7077	301.32
HV877  	2454056.7104	277.64
HV877  	2454058.5971	277.65
HV877  	2454100.7756	278.92
HV877  	2454101.8509	277.95
HV877  	2454125.5819	300.19
HV877  	2454133.6720	306.26
HV877  	2454186.5478	300.08
HV877  	2454189.5009	282.48
HV877  	2454364.8043	306.36
HV877  	2454410.7067	305.52
HV877  	2454488.6069	300.98
HV878  	2453701.7373	270.09
HV878  	2453702.7629	268.49
HV878  	2453703.7693	247.48
HV878  	2453704.7665	229.07
HV878  	2453705.7587	222.02
HV878  	2453706.7662	222.00
HV878  	2453707.7591	224.95
HV878  	2453708.7408	228.83
HV878  	2453708.7461	228.84
HV878  	2453709.7464	233.12
HV878  	2453710.7383	237.15
HV878  	2453711.8106	241.55
HV878  	2453712.7884	245.56
HV878  	2453713.7954	249.67
HV878  	2453714.7936	253.50
HV878  	2453715.7964	257.51
HV878  	2453716.8009	261.43
HV878  	2454046.7174	276.46
HV878  	2454058.6058	241.25
HV878  	2454161.5636	269.08
HV878  	2454186.5650	275.39
HV878  	2454189.5103	279.35
HV878  	2454395.8339	273.42
HV878  	2454515.5536	279.98
HV881  	2453701.7007	234.15
HV881  	2453702.8579	237.01
HV881  	2453703.8568	239.14
HV881  	2453705.7413	243.42
HV881  	2453707.7416	248.00
HV881  	2453708.8254	250.29
HV881  	2453710.7219	254.00
HV881  	2453711.8538	256.58
HV881  	2453712.8052	258.22
HV881  	2453713.8101	259.47
HV881  	2453714.8083	260.22
HV881  	2453715.8116	261.46
HV881  	2453716.8179	261.80
HV881  	2454046.7271	221.60
HV881  	2454056.7184	229.00
HV881  	2454058.6163	233.19
HV881  	2454113.7580	264.80
HV881  	2454123.5883	218.60
HV881  	2454124.6264	220.76
HV881  	2454125.5905	222.78
HV881  	2454186.5852	264.57
HV881  	2454189.5196	224.86
HV881  	2454406.8354	214.95
HV881  	2454478.7346	215.08
HV881  	2454520.5871	227.34
HV881  	2454540.5458	263.35
HV900  	2453701.7101	214.15
HV900  	2453702.7985	215.66
HV900  	2453703.7512	217.00
HV900  	2453704.7479	218.59
HV900  	2453705.7370	220.32
HV900  	2453706.7470	221.73
HV900  	2453707.8571	223.59
HV900  	2453708.7245	224.83
HV900  	2453710.8537	228.25
HV900  	2453712.6958	230.80
HV900  	2453714.8139	233.57
HV900  	2453715.8143	235.03
HV900  	2453716.8238	236.35
HV900  	2454056.7258	245.83
HV900  	2454058.6234	247.26
HV900  	2454100.7827	242.21
HV900  	2454113.7661	255.50
HV900  	2454123.5957	211.14
HV900  	2454124.6343	210.84
HV900  	2454162.5172	256.10
HV900  	2454395.8431	252.02
HV900  	2454406.8438	213.99
HV900  	2454431.7310	240.99
HV900  	2454488.6792	249.71
HV900  	2454547.5112	227.13
HV914  	2451545.6641	279.99
HV914  	2451546.6888	255.89
HV914  	2451547.6648	241.89
HV914  	2451548.6395	248.69
HV914  	2451549.6368	256.37
HV914  	2451550.5473	263.29
HV914  	2451551.6352	271.55
HV914  	2451552.6897	281.07
HV914  	2451564.6424	265.80
HV914  	2451565.6460	272.99
HV914  	2451566.7188	279.45
HV914  	2451567.6591	243.24
HV914  	2451568.6756	243.52
HV914  	2451569.6813	251.35
HV914  	2451570.5787	259.32
HV914  	2451571.6789	267.24
HV914  	2451849.6291	247.67
HV914  	2451850.7449	242.40
HV914  	2451851.7615	250.86
HV914  	2451854.6289	274.68
HV914  	2451908.5808	265.89
HV914  	2451909.6055	272.86
HV914  	2451910.5383	279.33
HV914  	2451910.7547	278.43
HV914  	2451911.5586	241.91
HV914  	2451912.5717	242.21
HV914  	2452259.7777	266.64
HV914  	2452260.7525	275.78
HV914  	2452261.6888	269.72
HV914  	2452262.7097	238.19
HV914  	2452263.7137	242.51
HV914  	2452264.7893	251.51
HV914  	2452265.6602	258.94
HV914  	2452266.7412	269.43
HV914  	2452268.7569	262.63
HV914  	2452269.7411	237.68
HV914  	2452270.7376	244.36
HV914  	2452271.7817	253.84
HV914  	2452272.7457	261.02
HV914  	2452597.7045	273.61
HV914  	2452597.8422	275.52
HV914  	2452598.7146	271.25
HV914  	2452598.8548	262.11
HV914  	2452599.5610	237.86
HV914  	2452599.8325	237.71
HV914  	2452601.6242	249.28
HV914  	2452601.7718	250.54
HV914  	2452602.5512	255.17
HV914  	2452603.8189	265.40
HV1005 	2453701.7579	265.20
HV1005 	2453702.7823	270.17
HV1005 	2453703.7871	275.01
HV1005 	2453704.7855	279.99
HV1005 	2453705.7773	285.04
HV1005 	2453706.7844	289.79
HV1005 	2453707.7773	294.95
HV1005 	2453708.7646	300.14
HV1005 	2453709.7649	303.65
HV1005 	2453709.7980	303.87
HV1005 	2453710.7570	300.89
HV1005 	2453711.7910	288.39
HV1005 	2453712.7732	287.95
HV1005 	2453713.7797	264.18
HV1005 	2453714.7787	241.59
HV1005 	2453715.7812	241.52
HV1005 	2453716.7795	246.62
HV1005 	2454186.5197	259.78
HV1005 	2454410.8253	247.20
HV1005 	2454430.7492	253.50
HV1006 	2453701.7921	275.76
HV1006 	2453702.8159	282.99
HV1006 	2453703.8100	289.24
HV1006 	2453704.8110	295.60
HV1006 	2453705.8011	297.40
HV1006 	2453706.8113	291.03
HV1006 	2453707.8037	273.29
HV1006 	2453708.7909	269.67
HV1006 	2453709.7906	258.98
HV1006 	2453710.7848	246.85
HV1006 	2453711.7631	245.57
HV1006 	2453712.7457	251.50
HV1006 	2453713.7515	259.24
HV1006 	2453714.7518	266.57
HV1006 	2453715.7534	273.78
HV1006 	2453716.7456	281.03
HV1023 	2453701.7275	285.22
HV1023 	2453702.7561	288.30
HV1023 	2453703.7638	291.38
HV1023 	2453704.7607	294.34
HV1023 	2453705.7534	297.35
HV1023 	2453706.7597	300.45
HV1023 	2453707.7530	303.26
HV1023 	2453708.7346	306.28
HV1023 	2453709.7402	309.16
HV1023 	2453710.7320	311.62
HV1023 	2453711.7320	313.18
HV1023 	2453712.7940	313.10
HV1023 	2453713.8014	312.06
HV1023 	2453714.7994	310.77
HV1023 	2453715.8027	312.11
HV1023 	2453716.8072	312.77
HV1023 	2454067.7448	260.97
HV1023 	2454123.6100	275.34
HV1023 	2454410.8389	263.74
HV1023 	2454437.7666	263.82
HV1023 	2454488.6878	277.46
HV1023 	2454520.5977	270.86
HV1023 	2454540.5691	311.24
HV2282 	2453701.7728	237.29
HV2282 	2453702.7941	244.66
HV2282 	2453703.7984	251.76
HV2282 	2453704.7986	258.64
HV2282 	2453705.7889	265.24
HV2282 	2453706.7985	271.84
HV2282 	2453707.7906	277.36
HV2282 	2453708.7782	281.44
HV2282 	2453709.7780	283.02
HV2282 	2453710.7692	266.22
HV2282 	2453711.7783	258.08
HV2282 	2453712.7613	253.29
HV2282 	2453713.7673	236.77
HV2282 	2453714.7674	228.12
HV2282 	2453714.8588	228.04
HV2282 	2453715.7680	232.58
HV2282 	2453716.7630	239.63
HV2369 	2453701.7151	329.60
HV2369 	2453702.6935	325.02
HV2369 	2453703.7263	313.08
HV2369 	2453704.7054	300.00
HV2369 	2453705.6926	290.42
HV2369 	2453706.7026	285.04
HV2369 	2453707.6930	282.95
HV2369 	2453708.6969	282.27
HV2369 	2453709.6990	282.18
HV2369 	2453709.7018	281.99
HV2369 	2453710.6942	282.91
HV2369 	2453711.6969	283.92
HV2369 	2453712.8526	285.45
HV2369 	2453713.6985	287.00
HV2369 	2453714.6959	288.32
HV2369 	2453715.8168	290.08
HV2369 	2453716.6969	291.98
HV2369 	2454058.6306	296.13
HV2369 	2454113.7731	307.41
HV2369 	2454123.6020	320.89
HV2369 	2454124.6416	321.98
HV2369 	2454133.6824	329.23
HV2369 	2454395.8495	294.39
HV2369 	2454410.7137	317.52
HV2369 	2454419.5504	325.75
HV2369 	2454465.6365	324.16
HV2405 	2453701.8412	202.87
HV2405 	2453702.7022	207.73
HV2405 	2453702.8336	209.18
HV2405 	2453703.7146	213.81
HV2405 	2453703.8489	213.69
HV2405 	2453704.7273	221.11
HV2405 	2453704.8432	222.93
HV2405 	2453705.7133	223.00
HV2405 	2453705.8463	223.22
HV2405 	2453706.7247	204.07
HV2405 	2453706.8615	201.91
HV2405 	2453707.7157	197.97
HV2405 	2453707.8508	197.68
HV2405 	2453708.8357	202.39
HV2405 	2453709.8440	209.35
HV2405 	2453710.8164	211.81
HV2405 	2453711.8211	222.38
HV2405 	2453712.8263	221.76
HV2405 	2453713.8392	202.32
HV2405 	2453714.8417	199.19
HV2405 	2453715.8457	203.77
HV2527 	2453701.8179	256.66
HV2527 	2453702.8239	243.21
HV2527 	2453703.7326	230.22
HV2527 	2453704.8333	224.98
HV2527 	2453705.8348	212.65
HV2527 	2453706.8363	202.77
HV2527 	2453707.8293	208.71
HV2527 	2453708.8150	216.73
HV2527 	2453709.8230	224.76
HV2527 	2453710.8076	232.91
HV2527 	2453711.7397	240.59
HV2527 	2453712.7240	247.55
HV2527 	2453712.8467	248.62
HV2527 	2453713.7057	253.25
HV2527 	2453713.8487	253.79
HV2527 	2453714.7030	256.61
HV2538 	2453701.8097	293.25
HV2538 	2453702.7406	287.47
HV2538 	2453703.8233	279.64
HV2538 	2453704.8252	275.84
HV2538 	2453705.8150	270.16
HV2538 	2453706.8285	262.62
HV2538 	2453707.8211	261.75
HV2538 	2453708.8071	265.30
HV2538 	2453709.8139	270.62
HV2538 	2453710.7995	276.32
HV2538 	2453711.7483	281.70
HV2538 	2453712.7324	287.19
HV2538 	2453713.7384	291.48
HV2538 	2453714.7267	294.13
HV2549 	2453701.7650	221.98
HV2549 	2453702.7880	218.23
HV2549 	2453703.7925	221.60
HV2549 	2453704.7913	227.31
HV2549 	2453705.7827	233.37
HV2549 	2453706.7916	239.56
HV2549 	2453707.7840	245.20
HV2549 	2453708.7713	250.76
HV2549 	2453709.7713	255.04
HV2549 	2453710.7629	258.88
HV2549 	2453711.7846	258.60
HV2549 	2453712.7676	253.41
HV2549 	2453713.7736	239.98
HV2549 	2453714.7736	234.96
HV2549 	2453715.7747	226.36
HV2549 	2453716.7712	225.34
HV5655 	2453701.7838	216.76
HV5655 	2453702.8087	223.68
HV5655 	2453703.8165	230.59
HV5655 	2453704.8182	237.29
HV5655 	2453705.8081	242.26
HV5655 	2453706.8196	247.33
HV5655 	2453707.8127	245.92
HV5655 	2453708.7990	228.65
HV5655 	2453709.8057	223.67
HV5655 	2453710.7915	215.96
HV5655 	2453711.7561	196.72
HV5655 	2453712.7396	194.00
HV5655 	2453713.7453	199.80
HV5655 	2453714.7457	207.67
HV5655 	2453715.7473	214.76
HV5655 	2453716.7374	221.38
HV6093 	2453701.8547	297.31
HV6093 	2453702.7163	255.96
HV6093 	2453702.8452	256.28
HV6093 	2453703.6993	265.27
HV6093 	2453703.8331	267.40
HV6093 	2453704.7141	279.18
HV6093 	2453704.8551	280.32
HV6093 	2453705.7015	290.23
HV6093 	2453705.8251	292.02
HV6093 	2453706.7104	296.87
HV6093 	2453706.8482	291.10
HV6093 	2453707.7022	256.40
HV6093 	2453707.8396	256.95
HV6093 	2453708.7164	268.71
HV6093 	2453708.8453	269.67
HV6093 	2453709.7224	281.67
HV6093 	2453709.8332	282.51
HV6093 	2453710.7015	294.21
HV6093 	2453710.8426	293.45
HV6093 	2453711.7048	285.73
HV6093 	2453711.8350	274.38
HV6093 	2453712.7045	258.02
HV6093 	2453712.8131	259.60
HV6093 	2453713.7182	271.00
HV6093 	2453713.8178	272.46
HV6093 	2453714.7149	284.66
HV6093 	2453714.8210	284.85
HV6093 	2453715.7182	294.91
HV6093 	2453715.8292	296.51
HV6093 	2453716.7106	267.35
HV6093 	2453716.8364	261.34
HV12452	2453701.8288	248.81
HV12452	2453702.7300	219.43
HV12452	2453703.7433	219.31
HV12452	2453704.7396	224.42
HV12452	2453705.7253	229.01
HV12452	2453706.7396	233.11
HV12452	2453707.7288	236.22
HV12452	2453708.7043	246.38
HV12452	2453708.8560	248.02
HV12452	2453709.7101	254.92
HV12452	2453709.8548	255.80
HV12452	2453710.7141	244.62
HV12452	2453710.8274	239.56
HV12452	2453711.7170	217.26
HV12452	2453711.8467	217.01
HV12452	2453712.7153	220.49
HV12452	2453712.8383	220.96
HV12452	2453713.7293	225.39
HV12452	2453713.8284	225.76
HV12452	2453714.7376	231.05
HV12452	2453714.8316	231.95
HV12452	2453715.7360	232.65
HV12452	2453715.8561	232.83
HV12452	2453716.7275	238.53
HV12452	2453716.8521	239.69
HV12505	2453701.8010	257.50
HV12505	2453702.8037	258.50
HV12505	2453703.8034	263.15
HV12505	2453704.8041	271.07
HV12505	2453705.7944	278.38
HV12505	2453706.8046	284.64
HV12505	2453707.7968	290.73
HV12505	2453708.7841	296.93
HV12505	2453709.7838	302.95
HV12505	2453710.7768	308.43
HV12505	2453711.7713	310.48
HV12505	2453712.7535	298.61
HV12505	2453713.7590	288.03
HV12505	2453714.7596	283.63
HV12505	2453714.8518	282.83
HV12505	2453715.7606	264.66
HV12505	2453716.7548	256.09
HV12717	2451551.7812	254.82
HV12717	2451552.6246	254.14
HV12717	2451564.5868	277.22
HV12717	2451565.5895	264.24
HV12717	2451566.5807	243.19
HV12717	2451567.5745	245.94
HV12717	2451568.5812	249.26
HV12717	2451569.7212	255.92
HV12717	2451570.7213	255.62
HV12717	2451571.5766	262.24
HV12717	2451855.7552	274.12
HV12717	2451856.6275	277.80
HV12717	2451908.5439	272.38
HV12717	2451909.7457	276.74
HV12717	2451910.6476	258.37
HV12717	2451912.6072	246.46
HV12717	2451912.7893	247.76
HV12717	2452259.7199	255.34
HV12717	2452260.7644	257.11
HV12717	2452261.6993	265.92
HV12717	2452262.7739	276.25
HV12717	2452263.7414	276.51
HV12717	2452264.7796	247.26
HV12717	2452266.7017	247.61
HV12717	2452270.7687	269.23
HV12717	2452272.7607	273.68
HV12717	2452273.8003	245.53
HV12717	2452599.5728	278.00
HV12717	2452599.8223	275.90
HV12717	2452601.6185	242.71
HV12717	2452601.8609	244.03
HV12717	2452602.8373	248.10
HV12717	2452603.5561	250.88
HV12717	2452603.7616	251.91
HV12717	2452603.8609	253.20
U1     	2453701.7509	222.45
U1     	2453702.7758	215.86
U1     	2453703.7815	217.41
U1     	2453704.7793	220.73
U1     	2453705.7715	224.60
U1     	2453706.7784	228.88
U1     	2453707.7711	233.26
U1     	2453708.7583	237.45
U1     	2453709.7588	241.36
U1     	2453710.7505	245.47
U1     	2453711.7975	249.48
U1     	2453712.7791	253.57
U1     	2453713.7859	257.37
U1     	2453714.7842	261.82
U1     	2453715.7869	266.16
U1     	2453716.7877	269.83
U1     	2454056.6983	281.85
U1     	2454058.5851	276.17
U1     	2454101.8270	281.28
U1     	2454124.6136	282.85
U1     	2454364.7819	251.71
U1     	2454488.5945	270.64
U1     	2454512.5637	253.81

